;;;;BLANES CAPITAL - DATOS MAESTROS;;;;
;;;;Archivo de configuracion para actualizar datos del Dashboard;;;;
;;;;Instrucciones: Rellena los campos amarillos para cada periodo;;;;
;;;;;;;;
====================================================================================================
SECCION 1: CONFIGURACION DEL PERIODO
====================================================================================================
;;;;;;;;
CAMPO;CIERRE_2024;1S_2025;2S_2025;CIERRE_2025;1S_2026;2S_2026;CIERRE_2026
;;;;;;;;
Titulo del Periodo;Cierre 2024;1er Semestre 2025;2do Semestre 2025;Cierre 2025;1er Semestre 2026;2do Semestre 2026;Cierre 2026
Fecha de Corte;31 de diciembre de 2024;30 de junio de 2025;;;;;;;
;;;;;;;;
====================================================================================================
SECCION 2: DATOS TOTALES (COMBINADO PABLO + ALEJANDRO)
====================================================================================================
;;;;;;;;
CAMPO;CIERRE_2024;1S_2025;2S_2025;CIERRE_2025;1S_2026;2S_2026;CIERRE_2026;DESCRIPCION
;;;;;;;;
Patrimonio Bajo Gestion (M);161.06;175.1;;;;;;Suma de bajo gestion Pablo + Ale
Rentabilidad (%);6.36;-0.03;;;;;;Promedio ponderado
Rentas Inmobiliarias (K);364;748;;;;;;Suma rentas Pablo + Ale en miles
Coste Estructura (%);0.35;0.33;;;;;;Ratio coste/patrimonio
Coste Estructura Total (K);547;278;;;;;;Total gastos estructura en miles
;;;;;;;;
====================================================================================================
SECCION 3: DATOS PABLO
====================================================================================================
;;;;;;;;
CAMPO;CIERRE_2024;1S_2025;2S_2025;CIERRE_2025;1S_2026;2S_2026;CIERRE_2026;DESCRIPCION
;;;;;;;;
Patrimonio Total (M);126.09;128.7;;;;;;Total patrimonio en millones
Patrimonio Bajo Gestion (M);88.43;96.4;;;;;;Gestionado activamente
Patrimonio Empresarial (M);37.66;32.3;;;;;;Participaciones empresariales
Rentabilidad (%);5.69;-0.14;;;;;;Rentabilidad del periodo
Rentabilidad sin USD (%);-;3.07;;;;;;Rentabilidad excluyendo efecto divisa
Rentas Inmobiliarias (K);186;385;;;;;;Rentas cobradas en miles
Cartera Financiera (M);46.43;55.8;;;;;;Activos financieros
Cartera Inmobiliaria (M);28.0;28.0;;;;;;Valor inmuebles
Inversiones Alternativas (M);1.68;2.2;;;;;;Private equity, etc
Rotacion Cartera (%);3.44;3.44;;;;;;Porcentaje rotacion anual
Exposicion USD (%);30;29;;;;;;Porcentaje expuesto a dolar
Ocupacion Inmuebles (%);-;79;;;;;;Tasa ocupacion inmuebles
;;;;;;;;
--- COMPOSICION CARTERA FINANCIERA PABLO ---;;;;;;;;;
Renta Fija (%);78;75;;;;;;Porcentaje en bonos
Renta Variable (%);18;21;;;;;;Porcentaje en acciones
Mercado Monetario (%);4;4;;;;;;Porcentaje en liquidez
;;;;;;;;
--- DISTRIBUCION POR BANCOS PABLO ---;;;;;;;;;
JP Morgan (%);58;60;;;;;;
Goldman Sachs (%);22;21;;;;;;
Banca March (%);13;12;;;;;;
Andbank (%);7;7;;;;;;
;;;;;;;;
====================================================================================================
SECCION 4: DATOS ALEJANDRO
====================================================================================================
;;;;;;;;
CAMPO;CIERRE_2024;1S_2025;2S_2025;CIERRE_2025;1S_2026;2S_2026;CIERRE_2026;DESCRIPCION
;;;;;;;;
Patrimonio Total (M);150.08;143.4;;;;;;Total patrimonio en millones
Patrimonio Bajo Gestion (M);72.63;78.8;;;;;;Gestionado activamente
Patrimonio Empresarial (M);77.45;64.7;;;;;;Participaciones empresariales
Rentabilidad (%);7.22;0.08;;;;;;Rentabilidad del periodo
Rentabilidad sin USD (%);-;3.86;;;;;;Rentabilidad excluyendo efecto divisa
Rentas Inmobiliarias (K);178;363;;;;;;Rentas cobradas en miles
Cartera Financiera (M);34.50;43.0;;;;;;Activos financieros
Cartera Inmobiliaria (M);21.16;21.6;;;;;;Valor inmuebles
Inversiones Alternativas (M);4.37;5.4;;;;;;Private equity, etc
Rotacion Cartera (%);3.44;3.44;;;;;;Porcentaje rotacion anual
Exposicion USD (%);32;27;;;;;;Porcentaje expuesto a dolar
Ocupacion Inmuebles (%);-;88;;;;;;Tasa ocupacion inmuebles
;;;;;;;;
--- COMPOSICION CARTERA FINANCIERA ALEJANDRO ---;;;;;;;;;
Renta Fija (%);52;50;;;;;;Porcentaje en bonos
Renta Variable (%);45;47;;;;;;Porcentaje en acciones
Mercado Monetario (%);3;2;;;;;;Porcentaje en liquidez
;;;;;;;;
--- DISTRIBUCION POR BANCOS ALEJANDRO ---;;;;;;;;;
JP Morgan (%);64;66;;;;;;
Goldman Sachs (%);16;14;;;;;;
Andbank (%);12;12;;;;;;
Banca March (%);8;8;;;;;;
;;;;;;;;
====================================================================================================
SECCION 5: ESTRUCTURA DE COSTES
====================================================================================================
;;;;;;;;
CAMPO;CIERRE_2024;1S_2025;2S_2025;CIERRE_2025;1S_2026;2S_2026;CIERRE_2026;DESCRIPCION
;;;;;;;;
Total Estructura (EUR);546915;278000;;;;;;Gasto total en euros
Ratio sobre Patrimonio (%);0.35;0.33;;;;;;Coste/patrimonio
